
Top 7000 Scenarios (Highest Returns):
Rank  K      BuyDTE  Initial S    Final S  Price Buy  Price Sell    Moneyness    Und. Return  Opt. Return
154   600       20d  556.22  606.28    0.78   12.14          OTM          9.00%     1459.82%
155   620       40d  556.22  622.97    1.11   17.25          OTM         12.00%     1453.66%
156   675       80d  556.22  634.09    0.63    9.79          OTM         14.00%     1452.43%
157   580       20d  556.22  628.53    3.18   49.19          OTM         13.00%     1448.47%
158   640       50d  556.22  622.97    0.71   10.97          OTM         12.00%     1445.71%
159   680       90d  556.22  639.65    0.76   11.69          OTM         15.00%     1440.26%
160   630       50d  556.22  628.53    1.15   17.72          OTM         13.00%     1434.68%
161   660       60d  556.22  622.97    0.47    7.15          OTM         12.00%     1419.41%
162   600       30d  556.22  622.97    1.82   27.65          OTM         12.00%     1418.27%
163   575       20d  556.22  639.65    4.30   65.25          OTM         15.00%     1417.85%
164   595       30d  556.22  628.53    2.41   36.51          OTM         13.00%     1414.27%
165   655       70d  556.22  634.09    0.94   14.11          OTM         14.00%     1404.99%
166   695      100d  556.22  639.65    0.63    9.45          OTM         15.00%     1402.78%
167   615       30d  556.22  611.84    0.73   10.92          OTM         10.00%     1398.19%
168   630       60d  556.22  639.65    1.77   26.47          OTM         15.00%     1395.63%
169   615       50d  556.22  639.65    2.28   34.03          OTM         15.00%     1389.72%
170   690       90d  556.22  634.09    0.53    7.84          OTM         14.00%     1389.46%
171   645       70d  556.22  639.65    1.40   20.75          OTM         15.00%     1386.52%
172   685       80d  556.22  628.53    0.42    6.28          OTM         13.00%     1383.07%
173   650       50d  556.22  617.40    0.42    6.28          OTM         11.00%     1378.43%
174   665       70d  556.22  628.53    0.62    9.14          OTM         13.00%     1375.36%
175   605       40d  556.22  634.09    2.38   35.04          OTM         14.00%     1374.18%
176   660       80d  556.22  639.65    1.12   16.42          OTM         15.00%     1368.68%
177   640       40d  556.22  611.84    0.36    5.24          OTM         10.00%     1367.73%
178   590       30d  556.22  634.09    3.15   46.12          OTM         14.00%     1362.99%
179   605       30d  556.22  617.40    1.36   19.86          OTM         11.00%     1361.67%
180   590       20d  556.22  611.84    1.64   23.89          OTM         10.00%     1360.28%
181   600       40d  556.22  639.65    3.01   43.88          OTM         15.00%     1357.72%
182   620       50d  556.22  634.09    1.83   26.69          OTM         14.00%     1357.25%
183   585       20d  556.22  617.40    2.30   33.48          OTM         11.00%     1354.50%
184   610       40d  556.22  628.53    1.86   27.05          OTM         13.00%     1353.71%
185   670       80d  556.22  634.09    0.77   11.13          OTM         14.00%     1353.11%
186   645       60d  556.22  628.53    0.93   13.53          OTM         13.00%     1348.47%
187   675       90d  556.22  639.65    0.91   13.13          OTM         15.00%     1345.81%
188   635       60d  556.22  634.09    1.44   20.53          OTM         14.00%     1328.45%
189   690      100d  556.22  639.65    0.75   10.60          OTM         15.00%     1320.09%
190   625       40d  556.22  617.40    0.85   12.02          OTM         11.00%     1319.05%
191   635       50d  556.22  622.97    0.91   12.85          OTM         12.00%     1314.90%
192   655       60d  556.22  622.97    0.59    8.40          OTM         12.00%     1312.29%
193   685       90d  556.22  634.09    0.63    8.89          OTM         14.00%     1304.99%
194   700       90d  556.22  628.53    0.36    5.06          OTM         13.00%     1302.21%
195   680       80d  556.22  628.53    0.52    7.23          OTM         13.00%     1296.41%
196   675       70d  556.22  622.97    0.40    5.62          OTM         12.00%     1295.99%
197   650       70d  556.22  634.09    1.15   15.99          OTM         14.00%     1294.91%
198   625       50d  556.22  628.53    1.46   20.31          OTM         13.00%     1292.04%
199   615       40d  556.22  622.97    1.44   20.09          OTM         12.00%     1291.17%
200   575       20d  556.22  634.09    4.30   59.70          OTM         14.00%     1288.64%
201   625       30d  556.22  606.28    0.37    5.14          OTM          9.00%     1281.68%
202   585       30d  556.22  639.65    4.07   56.20          OTM         15.00%     1280.43%
203   660       70d  556.22  628.53    0.76   10.51          OTM         13.00%     1276.24%
204   580       20d  556.22  622.97    3.18   43.69          OTM         12.00%     1275.49%
205   640       70d  556.22  639.65    1.69   23.19          OTM         15.00%     1270.24%
206   645       50d  556.22  617.40    0.55    7.53          OTM         11.00%     1268.21%
207   655       80d  556.22  639.65    1.34   18.38          OTM         15.00%     1267.42%
208   625       60d  556.22  639.65    2.17   29.50          OTM         15.00%     1261.30%
209   700      100d  556.22  634.09    0.53    7.19          OTM         14.00%     1260.39%
210   665       80d  556.22  634.09    0.93   12.61          OTM         14.00%     1259.93%
211   595       20d  556.22  606.28    1.14   15.48          OTM          9.00%     1258.75%
212   670       90d  556.22  639.65    1.08   14.69          OTM         15.00%     1257.03%
213   635       40d  556.22  611.84    0.48    6.49          OTM         10.00%     1252.37%
214   685      100d  556.22  639.65    0.88   11.86          OTM         15.00%     1241.77%
215   610       30d  556.22  611.84    1.00   13.41          OTM         10.00%     1239.01%
216   640       60d  556.22  628.53    1.16   15.51          OTM         13.00%     1235.03%
217   610       50d  556.22  639.65    2.83   37.74          OTM         15.00%     1233.91%
218   695       90d  556.22  628.53    0.44    5.80          OTM         13.00%     1229.70%
219   680       90d  556.22  634.09    0.76   10.06          OTM         14.00%     1225.05%
220   665       60d  556.22  617.40    0.37    4.89          OTM         11.00%     1218.27%
221   595       30d  556.22  622.97    2.41   31.69          OTM         12.00%     1214.57%
222   675       80d  556.22  628.53    0.63    8.29          OTM         13.00%     1214.43%
223   615       50d  556.22  634.09    2.28   29.98          OTM         14.00%     1212.63%
224   650       60d  556.22  622.97    0.75    9.80          OTM         12.00%     1212.11%
225   670       70d  556.22  622.97    0.50    6.56          OTM         12.00%     1211.57%
226   630       60d  556.22  634.09    1.77   23.14          OTM         14.00%     1207.79%
227   590       30d  556.22  628.53    3.15   40.96          OTM         13.00%     1199.23%
228   600       40d  556.22  634.09    3.01   39.09          OTM         14.00%     1198.56%
229   630       50d  556.22  622.97    1.15   14.95          OTM         12.00%     1194.69%
230   645       70d  556.22  634.09    1.40   18.05          OTM         14.00%     1192.88%
231   695      100d  556.22  634.09    0.63    8.12          OTM         14.00%     1191.04%
232   605       40d  556.22  628.53    2.38   30.66          OTM         13.00%     1189.83%
233   620       40d  556.22  617.40    1.11   14.28          OTM         11.00%     1185.86%
234   655       70d  556.22  628.53    0.94   12.03          OTM         13.00%     1183.48%
235   600       30d  556.22  617.40    1.82   23.35          OTM         11.00%     1182.13%
236   595       40d  556.22  639.65    3.78   48.26          OTM         15.00%     1177.39%
237   665       90d  556.22  639.65    1.29   16.39          OTM         15.00%     1173.65%
238   650       80d  556.22  639.65    1.61   20.49          OTM         15.00%     1173.22%
239   660       80d  556.22  634.09    1.12   14.23          OTM         14.00%     1172.58%
240   680      100d  556.22  639.65    1.04   13.23          OTM         15.00%     1167.64%
241   620       30d  556.22  606.28    0.52    6.64          OTM          9.00%     1166.65%
242   640       50d  556.22  617.40    0.71    8.98          OTM         11.00%     1165.16%
243   635       70d  556.22  639.65    2.04   25.82          OTM         15.00%     1163.40%
244   620       50d  556.22  628.53    1.83   23.13          OTM         13.00%     1162.93%
245   690       90d  556.22  628.53    0.53    6.64          OTM         13.00%     1160.58%
246   575       20d  556.22  628.53    4.30   54.15          OTM         13.00%     1159.63%
247   605       20d  556.22  600.72    0.52    6.53          OTM          8.00%     1153.09%
248   675       90d  556.22  634.09    0.91   11.34          OTM         14.00%     1149.46%
249   585       30d  556.22  634.09    4.07   50.83          OTM         14.00%     1148.53%
250   610       40d  556.22  622.97    1.86   23.18          OTM         12.00%     1145.82%
251   630       40d  556.22  611.84    0.64    7.96          OTM         10.00%     1144.02%
252   620       60d  556.22  639.65    2.64   32.73          OTM         15.00%     1139.86%
253   670       80d  556.22  628.53    0.77    9.47          OTM         13.00%     1136.94%
254   660       60d  556.22  617.40    0.47    5.82          OTM         11.00%     1135.88%
255   685       80d  556.22  622.97    0.42    5.22          OTM         12.00%     1131.82%
256   665       70d  556.22  622.97    0.62    7.63          OTM         12.00%     1131.74%
257   570       20d  556.22  639.65    5.71   70.24          OTM         15.00%     1130.80%
258   635       60d  556.22  628.53    1.44   17.69          OTM         13.00%     1130.41%
259   585       20d  556.22  611.84    2.30   28.30          OTM         10.00%     1129.48%
260   690      100d  556.22  634.09    0.75    9.14          OTM         14.00%     1125.01%
261   645       60d  556.22  622.97    0.93   11.38          OTM         12.00%     1118.57%
262   580       20d  556.22  617.40    3.18   38.26          OTM         11.00%     1104.40%
263   640       70d  556.22  634.09    1.69   20.28          OTM         14.00%     1098.40%
264   625       60d  556.22  634.09    2.17   25.96          OTM         14.00%     1097.74%
265   675      100d  556.22  639.65    1.23   14.72          OTM         15.00%     1097.51%
266   650       70d  556.22  628.53    1.15   13.72          OTM         13.00%     1096.76%
267   605       50d  556.22  639.65    3.48   41.63          OTM         15.00%     1096.12%
268   660       90d  556.22  639.65    1.53   18.24          OTM         15.00%     1095.40%
269   685       90d  556.22  628.53    0.63    7.56          OTM         13.00%     1094.76%
270   605       30d  556.22  611.84    1.36   16.23          OTM         10.00%     1094.49%
271   655       80d  556.22  634.09    1.34   16.00          OTM         14.00%     1090.76%
272   645       80d  556.22  639.65    1.92   22.78          OTM         15.00%     1085.67%
273   625       50d  556.22  622.97    1.46   17.28          OTM         12.00%     1084.46%
274   610       50d  556.22  634.09    2.83   33.48          OTM         14.00%     1083.45%
275   670       90d  556.22  634.09    1.08   12.75          OTM         14.00%     1078.03%
276   590       20d  556.22  606.28    1.64   19.24          OTM          9.00%     1076.44%
277   580       30d  556.22  639.65    5.19   61.06          OTM         15.00%     1075.73%
278   650       50d  556.22  611.84    0.42    4.97          OTM         10.00%     1070.50%
279   635       50d  556.22  617.40    0.91   10.62          OTM         11.00%     1069.06%
280   700       90d  556.22  622.97    0.36    4.21          OTM         12.00%     1066.43%
281   680       80d  556.22  622.97    0.52    6.04          OTM         12.00%     1066.36%
282   630       70d  556.22  639.65    2.46   28.63          OTM         15.00%     1065.33%
283   615       40d  556.22  617.40    1.44   16.81          OTM         11.00%     1064.48%
284   665       80d  556.22  628.53    0.93   10.79          OTM         13.00%     1063.77%
285   685      100d  556.22  634.09    0.88   10.27          OTM         14.00%     1062.17%
286   655       60d  556.22  617.40    0.59    6.88          OTM         11.00%     1057.90%
287   615       30d  556.22  606.28    0.73    8.43          OTM          9.00%     1056.98%
288   660       70d  556.22  622.97    0.76    8.83          OTM         12.00%     1056.35%
289   700      100d  556.22  628.53    0.53    6.11          OTM         13.00%     1056.30%
290   595       40d  556.22  634.09    3.78   43.31          OTM         14.00%     1046.35%
291   615       50d  556.22  628.53    2.28   26.18          OTM         13.00%     1046.28%
292   600       40d  556.22  628.53    3.01   34.49          OTM         13.00%     1045.92%
293   625       40d  556.22  611.84    0.85    9.68          OTM         10.00%     1042.71%
294   600       20d  556.22  600.72    0.78    8.88          OTM          8.00%     1041.24%
295   590       30d  556.22  622.97    3.15   35.95          OTM         12.00%     1040.49%
296   675       70d  556.22  617.40    0.40    4.59          OTM         11.00%     1039.24%
297   630       60d  556.22  628.53    1.77   20.07          OTM         13.00%     1034.04%
298   570       20d  556.22  634.09    5.71   64.68          OTM         14.00%     1033.40%
299   680       90d  556.22  628.53    0.76    8.59          OTM         13.00%     1032.11%
300   640       60d  556.22  622.97    1.16   13.14          OTM         12.00%     1031.36%
301   670      100d  556.22  639.65    1.44   16.34          OTM         15.00%     1031.22%
302   575       20d  556.22  622.97    4.30   48.62          OTM         12.00%     1031.04%
303   615       60d  556.22  639.65    3.20   36.16          OTM         15.00%     1030.18%
304   595       30d  556.22  617.40    2.41   27.12          OTM         11.00%     1025.00%
305   590       40d  556.22  639.65    4.70   52.77          OTM         15.00%     1022.79%
306   655       90d  556.22  639.65    1.80   20.24          OTM         15.00%     1022.01%
307   585       30d  556.22  628.53    4.07   45.55          OTM         13.00%     1018.86%
308   605       40d  556.22  622.97    2.38   26.53          OTM         12.00%     1016.18%
309   645       70d  556.22  628.53    1.40   15.57          OTM         13.00%     1015.79%
310   640       40d  556.22  606.28    0.36    3.98          OTM          9.00%     1015.67%
311   650       80d  556.22  634.09    1.61   17.93          OTM         14.00%     1014.20%
312   695       90d  556.22  622.97    0.44    4.85          OTM         12.00%     1011.59%
313   635       70d  556.22  634.09    2.04   22.70          OTM         14.00%     1011.00%
314   665       90d  556.22  634.09    1.29   14.30          OTM         14.00%     1010.58%
315   640       80d  556.22  639.65    2.28   25.23          OTM         15.00%     1004.36%
316   675       80d  556.22  622.97    0.63    6.96          OTM         12.00%     1004.01%
317   680      100d  556.22  634.09    1.04   11.50          OTM         14.00%     1002.40%
318   695      100d  556.22  628.53    0.63    6.93          OTM         13.00%     1002.02%
319   620       60d  556.22  634.09    2.64   28.98          OTM         14.00%      997.48%
320   660       80d  556.22  628.53    1.12   12.24          OTM         13.00%      994.73%
321   645       50d  556.22  611.84    0.55    6.03          OTM         10.00%      994.31%
322   655       70d  556.22  622.97    0.94   10.17          OTM         12.00%      985.22%
323   650       60d  556.22  617.40    0.75    8.10          OTM         11.00%      984.22%
324   620       50d  556.22  622.97    1.83   19.85          OTM         12.00%      983.57%
325   630       50d  556.22  617.40    1.15   12.47          OTM         11.00%      979.65%
326   670       70d  556.22  617.40    0.50    5.39          OTM         11.00%      977.56%
327   625       70d  556.22  639.65    2.94   31.63          OTM         15.00%      975.39%
328   600       50d  556.22  639.65    4.25   45.69          OTM         15.00%      974.36%
329   675       90d  556.22  628.53    0.91    9.74          OTM         13.00%      972.53%
330   580       30d  556.22  634.09    5.19   55.63          OTM         14.00%      971.11%
331   665      100d  556.22  639.65    1.69   18.09          OTM         15.00%      968.59%
332   605       50d  556.22  634.09    3.48   37.18          OTM         14.00%      968.19%
333   600       30d  556.22  611.84    1.82   19.38          OTM         10.00%      964.22%
334   690       90d  556.22  622.97    0.53    5.57          OTM         12.00%      959.00%
335   610       40d  556.22  617.40    1.86   19.62          OTM         11.00%      954.23%
336   610       30d  556.22  606.28    1.00   10.55          OTM          9.00%      953.43%
337   650       90d  556.22  639.65    2.13   22.38          OTM         15.00%      953.21%
338   665       60d  556.22  611.84    0.37    3.90          OTM         10.00%      951.20%
339   635       60d  556.22  622.97    1.44   15.10          OTM         12.00%      950.18%
340   690      100d  556.22  628.53    0.75    7.84          OTM         13.00%      950.06%
341   620       40d  556.22  611.84    1.11   11.64          OTM         10.00%      948.36%
342   660       90d  556.22  634.09    1.53   15.98          OTM         14.00%      946.94%
343   675      100d  556.22  634.09    1.23   12.85          OTM         14.00%      945.59%
344   625       60d  556.22  628.53    2.17   22.66          OTM         13.00%      945.41%
345   670       80d  556.22  622.97    0.77    8.00          OTM         12.00%      944.67%
346   645       80d  556.22  634.09    1.92   20.03          OTM         14.00%      942.62%
347   635       40d  556.22  606.28    0.48    5.00          OTM          9.00%      942.42%
348   610       50d  556.22  628.53    2.83   29.45          OTM         13.00%      941.05%
349   640       70d  556.22  628.53    1.69   17.61          OTM         13.00%      940.26%
350   580       20d  556.22  611.84    3.18   32.93          OTM         10.00%      936.55%
351   570       20d  556.22  628.53    5.71   59.13          OTM         13.00%      936.07%
352   610       60d  556.22  639.65    3.86   39.76          OTM         15.00%      931.21%
353   630       70d  556.22  634.09    2.46   25.31          OTM         14.00%      930.23%
354   655       80d  556.22  628.53    1.34   13.84          OTM         13.00%      929.66%
355   635       80d  556.22  639.65    2.71   27.85          OTM         15.00%      928.91%
356   595       20d  556.22  600.72    1.14   11.72          OTM          8.00%      928.15%
357   640       50d  556.22  611.84    0.71    7.25          OTM         10.00%      922.08%
358   595       40d  556.22  628.53    3.78   38.53          OTM         13.00%      919.77%
359   665       70d  556.22  617.40    0.62    6.31          OTM         11.00%      918.73%
360   650       70d  556.22  622.97    1.15   11.67          OTM         12.00%      918.21%
361   670       90d  556.22  628.53    1.08   11.00          OTM         13.00%      915.91%
362   645       60d  556.22  617.40    0.93    9.48          OTM         11.00%      914.72%
363   585       20d  556.22  606.28    2.30   23.36          OTM          9.00%      914.70%
364   590       40d  556.22  634.09    4.70   47.68          OTM         14.00%      914.57%
365   685       80d  556.22  617.40    0.42    4.30          OTM         11.00%      914.30%
